scenario_id,iteration,prob_A,prob_B,prob_C,prob_D,Average driving time,Worst bridge,Worst bridge delay,Probs
3,0,0.0,0.0,0.05,0.1,585.0,CORNAIL HAT BOX CULVERT,0.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,1,0.0,0.0,0.05,0.1,615.1860288534548,AITAL BANGA BOX CULVERT,15.196439641806494,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,2,0.0,0.0,0.05,0.1,690.4033742331288,BALDHA KHAL RCC GIDER BRIDGE,37.962048389044355,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,3,0.0,0.0,0.05,0.1,585.0,CORNAIL HAT BOX CULVERT,0.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,4,0.0,0.0,0.05,0.1,659.829640947288,PURPU DURGAPURE BOX CUL,37.722704180674796,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,5,0.0,0.0,0.05,0.1,676.7707055214723,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,37.701819001192156,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,6,0.0,0.0,0.05,0.1,659.8904214559387,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,37.69139174366159,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,7,0.0,0.0,0.05,0.1,622.3890577507599,BORO KUMIRA BRIDGE,36.910291396106814,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,8,0.0,0.0,0.05,0.1,599.4655563966692,AMIRABATH SLAB CULVERT,14.963268245441322,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
3,9,0.0,0.0,0.05,0.1,585.0,CORNAIL HAT BOX CULVERT,0.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}"
