scenario_id,iteration,prob_A,prob_B,prob_C,prob_D,Average driving time,Worst bridge,Worst bridge delay,Probs
4,0,0.0,0.0,0.1,0.2,622.5421412300683,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,37.0912631892866,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,1,0.0,0.0,0.1,0.2,726.9922660479505,MEGHNA BRIDGE,141.4624134559076,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,2,0.0,0.0,0.1,0.2,660.2344827586207,SALAKHARPAD BRIDGE,37.703090456236055,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,3,0.0,0.0,0.1,0.2,660.4762633996937,PURPU DURGAPURE BOX CUL,38.37252257083412,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,4,0.0,0.0,0.1,0.2,637.9033485540335,ISAMATI BOX CULVERT,38.02007116668128,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,5,0.0,0.0,0.1,0.2,654.59375,Ginlatoly,37.942866430744175,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,6,0.0,0.0,0.1,0.2,697.972286374134,SHAHID NAGIR,37.83253943772474,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,7,0.0,0.0,0.1,0.2,616.1002277904328,BOSONTA PUR BOX CULVERT,15.088282139334325,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,8,0.0,0.0,0.1,0.2,725.7667436489608,KANCHPUR PC GIRDER BRIDGE,140.50669390513093,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
4,9,0.0,0.0,0.1,0.2,764.791277258567,KANCHPUR PC GIRDER BRIDGE,141.43129062802936,"{'A': 0, 'B': 0, 'C': 0.1, 'D': 0.2}"
